time,theta
0.000,1.5707963267948966
0.001,1.5708047267948966
0.002,1.5708215266508965
0.003,1.5708467262188988
0.004,1.5708803253549066
0.005,1.5709223239149217
0.006,1.5709727217549398
0.007,1.571031518730946
0.008,1.5710987146989073
0.009,1.5711743095147648
0.010,1.5712583030344245
0.011,1.5713506951137457
0.012,1.5714514856085298
0.013,1.5715606743745059
0.014,1.5716782612673164
0.015,1.5718042461425006
0.016,1.5719386288554769
0.017,1.5720814092615236
0.018,1.5722325872157596
0.019,1.5723921625731212
0.020,1.57256013518834
0.021,1.5727365049159183
0.022,1.5729212716101026
0.023,1.5731144351248578
0.024,1.573315995313837
0.025,1.5735259520303528
0.026,1.5737443051273459
0.027,1.5739710544573517
0.028,1.5742061998724672
0.029,1.5744497412243152
0.030,1.5747016783640078
0.031,1.5749620111421077
0.032,1.5752307394085898
0.033,1.5755078630127999
0.034,1.575793381803412
0.035,1.5760872956283856
0.036,1.5763896043349204
0.037,1.57670030776941
0.038,1.5770194057773945
0.039,1.577346898203512
0.040,1.5776827848914465
0.041,1.5780270656838786
0.042,1.5783797404224305
0.043,1.5787408089476125
0.044,1.5791102710987672
0.045,1.579488126714012
0.046,1.5798743756301807
0.047,1.580269017682764
0.048,1.580672052705848
0.049,1.5810834805320508
0.050,1.5815033009924602
0.051,1.5819315139165668
0.052,1.5823681191321985
0.053,1.5828131164654518
0.054,1.583266505740622
0.055,1.583728286780134
0.056,1.5841984594044682
0.057,1.5846770234320882
0.058,1.5851639786793654
0.059,1.5856593249605035
0.060,1.5861630620874603
0.061,1.5866751898698683
0.062,1.587195708114956
0.063,1.587724616627464
0.064,1.5882619152095638
0.065,1.588807603660773
0.066,1.5893616817778686
0.067,1.5899241493548009
0.068,1.5904950061826042
0.069,1.5910742520493077
0.070,1.591661886739844
0.071,1.5922579100359562
0.072,1.5928623217161042
0.073,1.5934751215553693
0.074,1.5940963093253577
0.075,1.5947258847941024
0.076,1.5953638477259635
0.077,1.5960101978815275
0.078,1.5966649350175055
0.079,1.5973280588866294
0.080,1.597999569237547
0.081,1.5986794658147159
0.082,1.5993677483582955
0.083,1.600064416604039
0.084,1.6007694702831816
0.085,1.6014829091223302
0.086,1.6022047328433493
0.087,1.6029349411632472
0.088,1.6036735337940595
0.089,1.604420510442733
0.090,1.6051758708110058
0.091,1.6059396145952884
0.092,1.6067117414865424
0.093,1.6074922511701568
0.094,1.6082811433258253
0.095,1.6090784176274198
0.096,1.6098840737428644
0.097,1.6106981113340069
0.098,1.6115205300564894
0.099,1.6123513295596172
0.100,1.613190509486227
0.101,1.6140380694725527
0.102,1.6148940091480906
0.103,1.6157583281354633
0.104,1.6166310260502819
0.105,1.6175121025010062
0.106,1.618401557088805
0.107,1.6192993894074144
0.108,1.620205599042993
0.109,1.6211201855739794
0.110,1.6220431485709443
0.111,1.6229744875964447
0.112,1.6239142022048738
0.113,1.624862291942312
0.114,1.625818756346374
0.115,1.6267835949460576
0.116,1.6277568072615882
0.117,1.6287383928042634
0.118,1.6297283510762959
0.119,1.6307266815706556
0.120,1.631733383770909
0.121,1.6327484571510584
0.122,1.6337719011753797
0.123,1.6348037152982575
0.124,1.6358438989640205
0.125,1.6368924516067747
0.126,1.6379493726502348
0.127,1.639014661507555
0.128,1.640088317581158
0.129,1.6411703402625633
0.130,1.642260728932212
0.131,1.6433594829592935
0.132,1.6444666017015677
0.133,1.6455820845051876
0.134,1.6467059307045204
0.135,1.647838139621966
0.136,1.6489787105677753
0.137,1.6501276428398677
0.138,1.651284935723644
0.139,1.6524505884918026
0.140,1.65362460040415
0.141,1.6548069707074127
0.142,1.6559976986350462
0.143,1.6571967834070436
0.144,1.6584042242297419
0.145,1.6596200202956275
0.146,1.66084417078314
0.147,1.6620766748564748
0.148,1.6633175316653839
0.149,1.6645667403449755
0.150,1.665824300015513
0.151,1.667090209782211
0.152,1.6683644687350305
0.153,1.669647075948474
0.154,1.6709380304813772
0.155,1.6722373313767
0.156,1.6735449776613172
0.157,1.6748609683458053
0.158,1.676185302424231
0.159,1.6775179788739354
0.160,1.6788589966553185
0.161,1.6802083547116216
0.162,1.6815660519687088
0.163,1.6829320873348461
0.164,1.6843064597004802
0.165,1.6856891679380153
0.166,1.6870802109015879
0.167,1.6884795874268415
0.168,1.6898872963306986
0.169,1.6913033364111318
0.170,1.6927277064469342
0.171,1.694160405197486
0.172,1.6956014314025225
0.173,1.697050783781899
0.174,1.6985084610353547
0.175,1.6999744618422745
0.176,1.7014487848614506
0.177,1.7029314287308412
0.178,1.7044223920673296
0.179,1.705921673466479
0.180,1.7074292715022894
0.181,1.7089451847269497
0.182,1.7104694116705903
0.183,1.712001950841034
0.184,1.7135428007235447
0.185,1.7150919597805756
0.186,1.7166494264515144
0.187,1.7182151991524293
0.188,1.719789276275811
0.189,1.7213716561903152
0.190,1.7229623372405025
0.191,1.7245613177465775
0.192,1.7261685960041255
0.193,1.7277841702838488
0.194,1.7294080388313002
0.195,1.731040199866617
0.196,1.7326806515842508
0.197,1.7343293921526985
0.198,1.7359864197142298
0.199,1.7376517323846143
0.200,1.7393253282528462
0.201,1.7410072053808685
0.202,1.7426973618032953
0.203,1.7443957955271316
0.204,1.7461025045314937
0.205,1.747817486767326
0.206,1.7495407401571166
0.207,1.7512722625946133
0.208,1.7530120519445356
0.209,1.754760106042286
0.210,1.7565164226936607
0.211,1.7582809996745579
0.212,1.7600538347306838
0.213,1.7618349255772587
0.214,1.763624269898721
0.215,1.7654218653484288
0.216,1.7672277095483606
0.217,1.769041800088815
0.218,1.7708641345281075
0.219,1.772694710392267
0.220,1.7745335251747298
0.221,1.7763805763360334
0.222,1.7782358613035065
0.223,1.7800993774709595
0.224,1.7819711221983725
0.225,1.7838510928115818
0.226,1.7857392866019652
0.227,1.787635700826125
0.228,1.78954033270557
0.229,1.7914531794263955
0.230,1.7933742381389624
0.231,1.795303505957574
0.232,1.7972409799601514
0.233,1.7991866571879078
0.234,1.8011405346450202
0.235,1.8031026092983
0.236,1.8050728780768628
0.237,1.8070513378717954
0.238,1.8090379855358214
0.239,1.8110328178829662
0.240,1.813035831688219
0.241,1.8150470236871934
0.242,1.8170663905757884
0.243,1.819093929009845
0.244,1.8211296356048017
0.245,1.823173506935351
0.246,1.8252255395350907
0.247,1.8272857298961758
0.248,1.8293540744689682
0.249,1.8314305696616846
0.250,1.833515211840043
0.251,1.8356079973269077
0.252,1.8377089224019318
0.253,1.8398179833011996
0.254,1.8419351762168654
0.255,1.844060497296793
0.256,1.8461939426441916
0.257,1.8483355083172504
0.258,1.8504851903287727
0.259,1.8526429846458072
0.260,1.8548088871892783
0.261,1.8569828938336141
0.262,1.8591650004063733
0.263,1.8613552026878706
0.264,1.8635534964107998
0.265,1.865759877259856
0.266,1.8679743408713554
0.267,1.870196882832854
0.268,1.8724274986827645
0.269,1.8746661839099719
0.270,1.8769129339534465
0.271,1.8791677442018562
0.272,1.8814306099931768
0.273,1.8837015266143005
0.274,1.8859804893006433
0.275,1.8882674932357504
0.276,1.8905625335508993
0.277,1.8928656053247026
