time,theta
0.000,1.57090132379492
0.005,1.5712163027939883
0.010,1.5717412457784492
0.015,1.5724761346900704
0.020,1.5734209513728208
0.025,1.5745756774983664
0.030,1.5759402944702814
0.035,1.5775147833069736
0.040,1.5792991245033252
0.045,1.5812932978710486
0.050,1.5834972823577542
0.055,1.5859110558447311
0.060,1.588534594923434
0.065,1.5913678746506739
0.070,1.5944108682825051
0.075,1.5976635469868001
0.080,1.6011258795345016
0.085,1.6047978319695366
0.090,1.6086793672573783
0.095,1.6127704449122318
0.100,1.6170710206028227
0.105,1.6215810457367565
0.110,1.6263004670234165
0.115,1.6312292260153607
0.120,1.6363672586281726
0.125,1.641714494638714
0.130,1.6472708571617223
0.135,1.6530362621046852
0.140,1.6590106176009227
0.145,1.665193823420792
0.150,1.671585770360927
0.155,1.6781863396114154
0.160,1.6849954021008031
0.165,1.6920128178188114
0.170,1.6992384351166414
0.175,1.7066720899847276
0.180,1.7143136053078
0.185,1.722162790097098
0.190,1.7302194386995746
0.195,1.7384833299839233
0.200,1.746954226503245
0.205,1.7556318736341752
0.210,1.7645159986922798
0.215,1.773606310023527
0.220,1.7829024960716395
0.225,1.7924042244211307
0.230,1.8021111408158326
0.235,1.8120228681527264
0.240,1.8221390054508937
0.245,1.8324591267954218
0.250,1.8429827802561067
0.255,1.8537094867808217
0.260,1.8646387390634405
0.265,1.8757700003862396
0.270,1.8871027034367331
0.275,1.8986362490989437
0.280,1.9103700052191586
0.285,1.92230330534628
0.290,1.9344354474469438
0.295,1.946765692595659
0.300,1.9592932636403
0.305,1.972017343843389
0.310,1.9849370754996993
0.315,1.998051558530843
0.320,2.0113598490576248
0.325,2.024860957951098
0.330,2.038553849363403
0.335,2.0524374392396547
0.340,2.0665105938123145
0.345,2.0807721280796945
0.350,2.095220804270446
0.355,2.1098553302961207
0.360,2.12467435819413
0.365,2.1396764825636923
0.370,2.1548602389976224
0.375,2.170224102513113
0.380,2.1857664859849457
0.385,2.2014857385848896
0.390,2.217380144231359
0.395,2.2334479200537367
0.400,2.2496872148761002
0.405,2.2660961077254433
0.410,2.282672606369816
0.415,2.2994146458921585
0.420,2.316320087305953
0.425,2.3333867162191404
0.430,2.350612241553089
0.435,2.367994294323704
0.440,2.3855304264920707
0.445,2.4032181098922876
0.450,2.4210547352443985
0.455,2.4390376112605363
0.460,2.457163963852574
0.465,2.4754309354497073
0.470,2.4938355844344704
0.475,2.512374884705734
0.480,2.5310457253771874
0.485,2.549844910619732
0.490,2.5687691596560405
0.495,2.5878151069153232
0.500,2.606979302356014
0.505,2.626258211963721
0.510,2.6456482184313144
0.515,2.6651456220274685
0.520,2.684746641659347
0.525,2.7044474161344016
0.530,2.7242440056254575
0.535,2.7441323933423742
0.540,2.7641084874126256
0.545,2.7841681229721096
0.550,2.8043070644664163
0.555,2.824521008161636
0.560,2.844805584862592
0.565,2.8651563628351604
0.570,2.8855688509280726
0.575,2.9060385018883315
0.580,2.9265607158630935
0.585,2.947130844079604
0.590,2.9677441926935413
0.595,2.9883960267949172
0.600,3.009081574559542
0.605,3.0297960315329813
0.610,3.05053456503293
0.615,3.0712923186550243
0.620,3.0920644168663123
0.625,3.112845969669914
0.630,3.1336320773238384
0.635,3.1544178350965
0.640,3.175198338041168
0.645,3.195968685771449
0.650,3.216723987219879
0.655,3.2374593653618384
0.660,3.2581699618872833
0.665,3.278850941803199
0.670,3.2994974979502256
0.675,3.32010485541758
0.680,3.340668275841185
0.685,3.3611830615708107
0.690,3.3816445596930262
0.695,3.4020481658978237
0.700,3.422389328177917
0.705,3.4426635503509218
0.710,3.462866395395844
0.715,3.4829934885965814
0.720,3.503040520486406
0.725,3.5230032495886796
0.730,3.542877504950316
0.735,3.5626591884657306
0.740,3.5823442769902325
0.745,3.6019288242429597
0.750,3.621408962500556
0.755,3.6407809040838233
0.760,3.660040942640557
0.765,3.679185454228642
0.770,3.698210898204321
0.775,3.7171138179212573
0.780,3.735890841246667
0.785,3.7545386809013603
0.790,3.773054134631001
0.795,3.7914340852162947
0.800,3.809675500330132
0.805,3.8277754322499535
0.810,3.8457310174337667
0.815,3.863539475968346
0.820,3.881198110898182
0.825,3.898704307443719
0.830,3.9160555321173396
0.835,3.9332493317454333
0.840,3.9502833324047044
0.845,3.9671552382806756
0.850,3.983862830456093
0.855,4.0004039656366706
0.860,4.0167765748213204
0.865,4.032978661923694
0.870,4.049008302351543
0.875,4.0648636415500645
0.880,4.080542893515054
0.885,4.096044339281334
0.890,4.111366325391595
0.895,4.1265072623504295
0.900,4.1414656230679965
0.905,4.15623994129743
0.910,4.170828810069779
0.915,4.185230880129954
0.920,4.199444858376844
0.925,4.213469506310502
0.930,4.227303638488989
0.935,4.240946120997246
0.940,4.254395869930079
0.945,4.267651849891133
0.950,4.280713072509522
0.955,4.293578594975546
0.960,4.3062475185967815
0.965,4.318718987375631
0.970,4.330992186609265
0.975,4.343066341512757
