time,theta
0.000,1.5707963267948966
0.005,1.5707963267948966
0.010,1.5710063267948966
0.015,1.5714263087948965
0.020,1.5720562547936126
0.025,1.5728961467682687
0.030,1.5739459666330988
0.035,1.5752056961765586
0.040,1.5766753169772505
0.045,1.5783548102985587
0.050,1.5802441569619967
0.055,1.5823433371992661
0.060,1.5846523304830245
0.065,1.5871711153363615
0.070,1.5898996691209792
0.075,1.592837967804071
0.080,1.595985985703892
0.085,1.599343695214015
0.090,1.6029110665062558
0.095,1.6066880672122585
0.100,1.6106746620837196
0.105,1.6148708126312308
0.110,1.6192764767417167
0.115,1.623891608274435
0.120,1.628716156635506
0.125,1.633750066330929
0.130,1.6389932764980424
0.135,1.6444457204153693
0.140,1.6501073249907938
0.145,1.6559780102279962
0.150,1.6620576886710727
0.155,1.6683462648272582
0.160,1.6748436345676538
0.165,1.6815496845058622
0.170,1.6884642913544168
0.175,1.6955873212588828
0.180,1.7029186291095002
0.185,1.7104580578302262
0.190,1.7182054376450262
0.195,1.7261605853212512
0.200,1.7343233033899312
0.205,1.7426933793428032
0.210,1.751270584805886
0.215,1.7600546746894037
0.220,1.7690453863138536
0.225,1.7782424385120115
0.230,1.7876455307066574
0.235,1.7972543419638087
0.240,1.807068530021242
0.245,1.8170877302920923
0.250,1.8273115548433196
0.255,1.8377395913488432
0.260,1.848371402017154
0.265,1.8592065224932366
0.270,1.870244460734647
0.275,1.8814846958616225
0.280,1.8929266769811322
0.285,1.9045698219848113
0.290,1.9164135163207716
0.295,1.9284571117393305
0.300,1.940699925012763
0.305,1.9531412366292495
0.310,1.965780289461274
0.315,1.978616287408812
0.320,1.9916483940177543
0.325,2.0048757310741157
0.330,2.018297377174712
0.335,2.0319123662751126
0.340,2.04571968621584
0.345,2.059718277227939
0.350,2.073907030419221
0.355,2.0882847862426868
0.360,2.1028503329488264
0.365,2.1176024050237325
0.370,2.1325396816151883
0.375,2.1476607849491547
0.380,2.162964278739344
0.385,2.1784486665928515
0.390,2.1941123904151136
0.395,2.2099538288177754
0.400,2.2259712955333626
0.405,2.242163037840998
0.410,2.2585272350077354
0.415,2.27506199675044
0.420,2.2917653617234928
0.425,2.3086352960379632
0.430,2.3256696918182396
0.435,2.3428663658024713
0.440,2.3602230579935215
0.445,2.3777374303674566
0.450,2.3954070656469364
0.455,2.4132294661471603
0.460,2.4312020527023
0.465,2.4493221636806157
0.470,2.467587054096646
0.475,2.4859938948290576
0.480,2.5045397719528593
0.485,2.5232216861947654
0.490,2.542036552520529
0.495,2.5609811998630154
0.500,2.5800523709996925
0.505,2.5992467225880325
0.510,2.6185608253670787
0.515,2.6379911645330925
0.520,2.65753414029679
0.525,2.6771860686291737
0.530,2.6969431822023933
0.535,2.7168016315313777
0.540,2.7367574863212454
0.545,2.756806737024639
0.550,2.776945296612213
0.555,2.79716900255849
0.560,2.8174736190442418
0.565,2.8378548393753835
0.570,2.858308288617187
0.575,2.878829526441361
0.580,2.8994140501822554
0.585,2.9200572980971438
0.590,2.9407546528241895
0.595,2.9615014450303967
0.600,2.982292957240513
0.605,3.003124427836574
0.610,3.02399105521654
0.615,3.044888002099281
0.620,3.065810399962068
0.625,3.086753353595688
0.630,3.107711945761398
0.635,3.1286812419330925
0.640,3.1496562951073956
0.645,3.170632150663818
0.650,3.191603851256705
0.655,3.212566441720426
0.660,3.2335149739691507
0.665,3.2544445118725642
0.670,3.2753501360890733
0.675,3.2962269488383784
0.680,3.3170700785957656
0.685,3.3378746846910783
0.690,3.358635961796085
0.695,3.379349144284808
0.700,3.4000095104523673
0.705,3.4206123865789473
0.710,3.4411531508266595
0.715,3.4616272369582863
0.720,3.482030137868173
0.725,3.50235740891684
0.730,3.522604671062236
0.735,3.5427676137818844
0.740,3.562841997781534
0.745,3.58282365748723
0.750,3.602708503319026
0.755,3.6224925237457963
0.760,3.6421717871218107
0.765,3.6617424433068546
0.770,3.681200725072753
0.775,3.7005429493001265
0.780,3.7197655179701234
0.785,3.7388649189566787
0.790,3.7578377266255814
0.795,3.776680602247274
0.800,3.7953902942308533
0.805,3.8139636381872015
0.810,3.832397556829557
0.815,3.8506890597201138
0.820,3.868835242871462
0.825,3.8868332882118053
0.830,3.9046804629229634
0.835,3.9223741186601577
0.840,3.9399116906625253
0.845,3.957290696763179
0.850,3.974508736307475
0.855,3.9915634889879286
0.860,4.008452713603984
0.865,4.025174246754556
0.870,4.041726001470955
0.875,4.058105965797481
0.880,4.074312201326638
0.885,4.090342841695532
0.890,4.1061960910496875
0.895,4.121870222480127
0.900,4.137363576439176
0.905,4.152674559140115
0.910,4.16780164094541
0.915,4.182743354747918
0.920,4.197498294349077
0.925,4.212065112837818
0.930,4.2264425209735315
0.935,4.240629285576186
0.940,4.254624227926345
0.945,4.268426222177571
0.950,4.282034193783447
0.955,4.295447117941174
0.960,4.30866401805349
0.965,4.321683964210428
0.970,4.334506071692239
0.975,4.347129499494604
0.980,4.359553448877107
0.985,4.371777161935782
0.990,4.383799920200381
0.995,4.3956210432569245
1.000,4.407239887395949
1.005,4.418655844286764
1.010,4.429868339677959
1.015,4.440876832124304
1.020,4.451680811740122
1.025,4.462279798979141
1.030,4.472673343440805
1.035,4.482861022702939
1.040,4.492842441180671
1.045,4.502617229011442
1.050,4.512185040965935
1.055,4.521545555384729
1.060,4.530698473140453
1.065,4.5396435166252385
1.070,4.548380428763223
1.075,4.556908972047878
1.080,4.565228927603931
1.085,4.5733400942736475
1.090,4.581242287727239
1.095,4.588935339597183
1.100,4.596419096636236
1.105,4.603693419898935
1.110,4.610758183946383
1.115,4.617613276074139
1.120,4.624258595563031
1.125,4.630694052952725
1.130,4.636919569337899
1.135,4.642935075686873
1.140,4.648740512182561
1.145,4.654335827585627
1.150,4.6597209786197284
1.155,4.664895929378749
1.160,4.669860650755921
1.165,4.674615119894764
1.170,4.679159319661752
1.175,4.683493238140657
1.180,4.6876168681485035
1.185,4.691530206773076
1.190,4.695233254931947
1.195,4.698726016952973
1.200,4.702008500176242
1.205,4.7050807145774245
1.210,4.707942672412517
1.215,4.710594387883955
1.220,4.713035876828072
1.225,4.7152671564239075
1.230,4.717288244923328
1.235,4.719099161402476
1.240,4.72069992553453
1.245,4.722090557383762
1.250,4.723271077220909
1.255,4.724241505359833
1.260,4.725001862015484
1.265,4.725552167183152
1.270,4.725892440539022
1.275,4.726022701362011
1.280,4.7259429684768985
1.285,4.725653260218757
1.290,4.725153594418657
1.295,4.724443988410672
1.300,4.7235244590601635
1.305,4.722395022813354
1.310,4.7210556957681895
1.315,4.7195064937664775
1.320,4.7177474325073145
1.325,4.715778527681794
1.330,4.713599795128998
1.335,4.711211251013272
1.340,4.708612912022789
1.345,4.7058047955894
1.350,4.70278692012978
1.355,4.699559305307875
1.360,4.696121972318662
1.365,4.692474944193229
1.370,4.688618246125193
1.375,4.684551905818471
1.380,4.6802759538564285
1.385,4.675790424092437
1.390,4.671095354061855
1.395,4.666190785415491
1.400,4.661076764374573
1.405,4.655753342207281
1.410,4.650220575726899
1.415,4.6444785278116445
1.420,4.638527267946251
1.425,4.632366872785379
1.430,4.625997426738947
1.435,4.619419022579476
1.440,4.612631762071557
1.445,4.605635756623566
1.450,4.598431127961732
1.455,4.591018008826726
1.460,4.583396543692901
1.465,4.575566889510343
1.470,4.567529216469917
1.475,4.559283708791477
1.480,4.550830565535436
1.485,4.542170001437902
1.490,4.533302247769586
1.495,4.524227553218697
1.500,4.5149461847980605
1.505,4.50545842877668
1.510,4.495764591635987
1.515,4.485865001051003
1.520,4.475760006896663
1.525,4.465449982279516
1.530,4.454935324595045
1.535,4.444216456610806
1.540,4.433293827575594
1.545,4.422167914354808
1.550,4.41083922259218
1.555,4.399308287897986
1.560,4.387575677063825
1.565,4.37564198930402
1.570,4.3635078575236275
1.575,4.351173949612983
1.580,4.338640969768661
1.585,4.325909659840623
1.590,4.312980800705266
1.595,4.299855213663947
1.600,4.286533761866497
1.605,4.273017351759068
1.610,4.259306934555545
1.615,4.245403507731602
1.620,4.231308116540306
1.625,4.217021855548005
1.630,4.202545870189035
1.635,4.1878813583375685
1.640,4.173029571894704
1.645,4.157991818388662
1.650,4.142769462585674
1.655,4.127363928108901
1.660,4.111776699062406
1.665,4.09600932165693
1.670,4.080063405833869
1.675,4.063940626883544
1.680,4.047642727053508
1.685,4.031171517142272
1.690,4.014528878073484
1.695,3.9977167624452195
1.700,3.9807371960486746
1.705,3.963592279350183
1.710,3.9462841889301097
1.715,3.928815178871808
1.720,3.9111875820934836
1.725,3.8934038116154586
1.730,3.875466361755026
1.735,3.8573778092407704
1.740,3.8391408142379895
1.745,3.820758121276591
1.750,3.802232560072675
1.755,3.7835670462348445
1.760,3.764764581846208
1.765,3.745828255912987
1.770,3.7267612446706795
1.775,3.70756681173881
1.780,3.688248308115477
1.785,3.668809172003142
1.790,3.649252928457435
1.795,3.6295831888511647
1.800,3.609803650146216
1.805,3.589918093966615
1.810,3.5699303854667175
1.815,3.549844471989246
1.820,3.5296643815087667
1.825,3.509394220857141
1.830,3.4890381737285168
1.835,3.4686004984625276
1.840,3.4480855256055425
1.845,3.4274976552510537
1.850,3.406841354161567
1.855,3.386121152675698
1.860,3.3653416414055277
1.865,3.3445074677306557
1.870,3.3236233320967528
1.875,3.302693984127786
1.880,3.2817242185624194
1.885,3.260718871026382
1.890,3.239682813653833
1.895,3.2186209505719012
1.900,3.1975382132636474
1.905,3.176439555825662
1.910,3.1553299501373626
1.915,3.1342143809597616
1.920,3.1130978409820824
1.925,3.091985325835016
1.930,3.0708818290897155
1.935,3.049792337261745
1.940,3.028721824839179
1.945,3.00767524935387
1.950,2.986657546514542
1.955,2.965673625419912
1.960,2.944728363869372
1.965,2.923826603788026
1.970,2.902973146781961
1.975,2.8821727498386385
1.980,2.861430121186174
1.985,2.8407499163240875
1.990,2.820136734236841
1.995,2.7995951138001516
2.000,2.7791295303887216
2.005,2.7587443926926287
2.010,2.7384440397482366
2.015,2.7182327381880897
2.020,2.698114679712898
2.025,2.6780939787873725
2.030,2.6581746705603946
2.035,2.6383607090087557
2.040,2.618655965302552
2.045,2.5990642263892143
2.050,2.5795891937921422
2.055,2.56023448261899
2.060,2.5410036207738056
2.065,2.5219000483664877
2.070,2.5029271173123635
2.075,2.4840880911141388
2.080,2.465386144818002
2.085,2.446824365135281
2.090,2.4284057507207684
2.095,2.4101332125986183
2.100,2.392009574726587
2.105,2.3740375746893347
2.110,2.3562198645115164
2.115,2.3385590115814616
2.120,2.3210574996763738
2.125,2.303717730080157
2.130,2.2865420227852065
2.135,2.2695326177697512
2.140,2.2526916763426477
2.145,2.2360212825478265
2.150,2.2195234446209526
2.155,2.2032000964912144
2.160,2.187053099321526
2.165,2.1710842430808137
